index,school,city,threshold,address,city_clean,threshold_idx,RSPO,match_score,matched_nazwa,nazwa_szkoły,miejscowosc,PPP_mean,O_zdawalnosc,match_key,organ_prowadzacy,wojewodztwo,liczba_uczniow,miejscowosc_rspo,nazwa_rspo,specyfika
1,CII LO z Oddziałami Integracyjnymi im. Księdza Józefa Woźniaka,Warszawie,109.8,Warszawa ul. Bartnicza 2 03-358,Warszawa,1,56463,84,CII LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI INTEGRACYJNYMI IM. KSIĘDZA JÓZEFA WOŹNIAKA,CII LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI INTEGRACYJNYMI IM. KSIĘDZA JÓZEFA WOŹNIAKA,Warszawa,57.98411014333333,64.98042187333333,cii liceum ogólnokształcące z oddziałami integracyjnymi im. księdza józefa woźniaka,Miasto na prawach powiatu,MAZOWIECKIE,312.0,Targówek,CII LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI INTEGRACYJNYMI IM. KSIĘDZA JÓZEFA WOŹNIAKA,integracyjny
2,CLIX LO im. Króla Jana III Sobieskiego,Warszawie,160.501,ul. Solipska 17/19 02-482 Warszawa Włochy,Warszawa,2,133795,78,CLIX LICEUM OGÓLNOKSZTAŁCĄCE IM. KRÓLA JANA III SOBIESKIEGO,CLIX LICEUM OGÓLNOKSZTAŁCĄCE IM. KRÓLA JANA III SOBIESKIEGO,Warszawa,71.75538206333333,99.84276729666665,clix liceum ogólnokształcące im. króla jana iii sobieskiego,Miasto na prawach powiatu,MAZOWIECKIE,810.0,Włochy,CLIX LICEUM OGÓLNOKSZTAŁCĄCE IM. KRÓLA JANA III SOBIESKIEGO,"ogólnodostępny, dwujęzyczny w szkole podstawowej, liceum i technikum"
3,CLV LO z Oddziałami Dwujęzycznymi im. Bohaterek Powstania Warszawskiego,Warszawie,146.23999999999998,ul. Wojciecha Żywnego 25 02-701 Warszawa,Warszawa,3,133453,86,CLV LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI DWUJĘZYCZNYMI IM. BOHATEREK POWSTANIA WARSZAWSKIEGO,CLV LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI DWUJĘZYCZNYMI IM. BOHATEREK POWSTANIA WARSZAWSKIEGO,Warszawa,78.53552133,100.0,clv liceum ogólnokształcące z oddziałami dwujęzycznymi im. bohaterek powstania warszawskiego,Miasto na prawach powiatu,MAZOWIECKIE,773.0,Mokotów,CLV LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI DWUJĘZYCZNYMI IM. BOHATEREK POWSTANIA WARSZAWSKIEGO,"ogólnodostępny, dwujęzyczny w szkole podstawowej, liceum i technikum"
5,CLVII LO im. Marii Skłodowskiej - Curie,Warszawie,166.92857142857142,ul. Świętokrzyska 18A 00-052 Warszawa Śródmieście,Warszawa,5,263334,76,CLVII LICEUM OGÓLNOKSZTAŁCĄCE IM. MARII SKŁODOWSKIEJ-CURIE,CLVII LICEUM OGÓLNOKSZTAŁCĄCE IM. MARII SKŁODOWSKIEJ-CURIE,Warszawa,77.63825829,100.0,clvii liceum ogólnokształcące im. marii skłodowskiej-curie,Miasto na prawach powiatu,MAZOWIECKIE,735.0,Śródmieście,CLVII LICEUM OGÓLNOKSZTAŁCĄCE IM. MARII SKŁODOWSKIEJ-CURIE,ogólnodostępny
6,CLVIII LO z Oddziałami Dwujęzycznymi im. Księżnej Izabeli Czartoryjskiej,Warszawie,167.92,ul. Stefana Szolc-Rogozińskiego 2 02-777 Warszawa Ursynów,Warszawa,6,133365,86,CLVIII LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI DWUJĘZYCZNYMI IM. KSIĘŻNEJ IZABELI CZARTORYSKIEJ,CLVIII LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI DWUJĘZYCZNYMI IM. KSIĘŻNEJ IZABELI CZARTORYSKIEJ,Warszawa,69.90236382666667,98.78970532,clviii liceum ogólnokształcące z oddziałami dwujęzycznymi im. księżnej izabeli czartoryskiej,Miasto na prawach powiatu,MAZOWIECKIE,591.0,Ursynów,CLVIII LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI DWUJĘZYCZNYMI IM. KSIĘŻNEJ IZABELI CZARTORYSKIEJ,"ogólnodostępny, dwujęzyczny w szkole podstawowej, liceum i technikum"
8,CLXI Liceum Ogólnokształcące im. Władysława Bartoszewskiego,Warszawie,138.65833333333333,ul. Smocza 19 01-051 Warszawa Wola,Warszawa,8,40982,73,VIII LICEUM OGÓLNOKSZTAŁCĄCE IM. WŁADYSŁAWA IV,VIII LICEUM OGÓLNOKSZTAŁCĄCE IM. WŁADYSŁAWA IV,Warszawa,80.06814059,100.0,viii liceum ogólnokształcące im. władysława iv,Miasto na prawach powiatu,MAZOWIECKIE,622.0,Praga-Północ,VIII LICEUM OGÓLNOKSZTAŁCĄCE IM. WŁADYSŁAWA IV,ogólnodostępny
9,CLXII LO im. Szarych Szeregów,Warszawie,88.67142857142856,ul. Turmoncka 2 03-254 Warszawa Targówek,Warszawa,9,267034,73,CLXII LICEUM OGÓLNOKSZTAŁCĄCE IM. SZARYCH SZEREGÓW,CLXII LICEUM OGÓLNOKSZTAŁCĄCE IM. SZARYCH SZEREGÓW,Warszawa,63.778111550000006,98.96703296666665,clxii liceum ogólnokształcące im. szarych szeregów,Miasto na prawach powiatu,MAZOWIECKIE,487.0,Targówek,CLXII LICEUM OGÓLNOKSZTAŁCĄCE IM. SZARYCH SZEREGÓW,"ogólnodostępny, integracyjny, sportowy"
10,CLXIII Liceum Ogólnokształcące,Warszawie,160.85,ul. Klimatyczna 1 05-077 Warszawa Wesoła,Warszawa,10,270871,100,CLXIII LICEUM OGÓLNOKSZTAŁCĄCE,CLXIII LICEUM OGÓLNOKSZTAŁCĄCE,Warszawa,71.88199623666667,99.06929304333335,clxiii liceum ogólnokształcące,Miasto na prawach powiatu,MAZOWIECKIE,601.0,Wesoła,CLXIII LICEUM OGÓLNOKSZTAŁCĄCE IM. CZESŁAWA NIEMENA,ogólnodostępny
11,CLXIV Liceum Ogólnokształcące Mistrzostwa Sportowego,Warszawie,94.36666666666667,ul. Chełmska 23 00-724 Warszawa Mokotów,Warszawa,11,271907,100,CLXIV LICEUM OGÓLNOKSZTAŁCĄCE MISTRZOSTWA SPORTOWEGO,CLXIV LICEUM OGÓLNOKSZTAŁCĄCE MISTRZOSTWA SPORTOWEGO,Warszawa,61.62008011333334,94.67084639666666,clxiv liceum ogólnokształcące mistrzostwa sportowego,Miasto na prawach powiatu,MAZOWIECKIE,168.0,Mokotów,CLXIV LICEUM OGÓLNOKSZTAŁCĄCE MISTRZOSTWA SPORTOWEGO,"ogólnodostępny, mistrzostwa sportowego"
12,CLXV Liceum Ogólnokształcące,Warszawie,122.44000000000001,ul. Ostródzka 175 03-289 Warszawa Białołęka,Warszawa,12,274376,100,CLXV LICEUM OGÓLNOKSZTAŁCĄCE,CLXV LICEUM OGÓLNOKSZTAŁCĄCE,Warszawa,72.296731025,100.0,clxv liceum ogólnokształcące,Miasto na prawach powiatu,MAZOWIECKIE,500.0,Białołęka,CLXV LICEUM OGÓLNOKSZTAŁCĄCE,"ogólnodostępny, integracyjny"
13,CLXVI Liceum Ogólnokształcące Z Oddziałami Sportowymi,Warszawie,205.4625,ul. Koncertowa 4 02-787 Warszawa Ursynów,Warszawa,13,25173,75,XCII LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI INTEGRACYJNYMI,XCII LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI INTEGRACYJNYMI,Warszawa,59.46868823,88.99707396000001,xcii liceum ogólnokształcące z oddziałami integracyjnymi,Miasto na prawach powiatu,MAZOWIECKIE,322.0,Wola,XCII LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI INTEGRACYJNYMI,"ogólnodostępny, integracyjny"
14,CV LO im. Zbigniewa Herberta,Warszawie,146.55416666666667,ul. Vincenta van Gogha 1 03-188 Warszawa Białołęka,Warszawa,14,110260,73,CV LICEUM OGÓLNOKSZTAŁCĄCE IM.ZBIGNIEWA HERBERTA,CV LICEUM OGÓLNOKSZTAŁCĄCE IM.ZBIGNIEWA HERBERTA,Warszawa,70.94106518,100.0,cv liceum ogólnokształcące im.zbigniewa herberta,Miasto na prawach powiatu,MAZOWIECKIE,853.0,Białołęka,CV LICEUM OGÓLNOKSZTAŁCĄCE IM.ZBIGNIEWA HERBERTA,ogólnodostępny
15,CX LO im. Roberta Schumana,Warszawie,130.45,ul. Jana III Sobieskiego 68 02-930 Warszawa Mokotów,Warszawa,15,83621,71,CX LICEUM OGÓLNOKSZTAŁCĄCE IM. ROBERTA SCHUMANA,CX LICEUM OGÓLNOKSZTAŁCĄCE IM. ROBERTA SCHUMANA,Warszawa,63.372609329999996,95.92666334666667,cx liceum ogólnokształcące im. roberta schumana,Miasto na prawach powiatu,MAZOWIECKIE,386.0,Mokotów,CX LICEUM OGÓLNOKSZTAŁCĄCE IM. ROBERTA SCHUMANA,ogólnodostępny
16,CXI LO z Oddziałami Integracyjnymi im. Stefana Kisielewskiego,Warszawie,103.39999999999999,ul. Szczawnicka 1 04-089 Warszawa Praga-Południe,Warszawa,16,24585,84,CXI LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI INTEGRACYJNYMI IM. STEFANA KISIELEWSKIEGO,CXI LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI INTEGRACYJNYMI IM. STEFANA KISIELEWSKIEGO,Warszawa,50.116115176666675,61.33540372666667,cxi liceum ogólnokształcące z oddziałami integracyjnymi im. stefana kisielewskiego,Miasto na prawach powiatu,MAZOWIECKIE,303.0,Praga-Południe,CXI LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI INTEGRACYJNYMI IM. STEFANA KISIELEWSKIEGO,"ogólnodostępny, integracyjny"
18,CXIX LO im. Jacka Kuronia,Warszawie,146.60625000000002,ul. Złota 58 00-821 Warszawa Wola,Warszawa,18,16429,71,CXIX LICEUM OGÓLNOKSZTAŁCĄCE IM. JACKA KURONIA,CXIX LICEUM OGÓLNOKSZTAŁCĄCE IM. JACKA KURONIA,Warszawa,74.59429126666667,99.63768116,cxix liceum ogólnokształcące im. jacka kuronia,Miasto na prawach powiatu,MAZOWIECKIE,503.0,Wola,CXIX LICEUM OGÓLNOKSZTAŁCĄCE IM. JACKA KURONIA,ogólnodostępny
19,CXXII LO im. Ignacego Domeyki,Warszawie,172.54166666666666,ul. Leopolda Staffa 3/5 01-891 Warszawa Bielany,Warszawa,19,34506,74,CXXII LICEUM OGÓLNOKSZTAŁCĄCE IM. IGNACEGO DOMEYKI,CXXII LICEUM OGÓLNOKSZTAŁCĄCE IM. IGNACEGO DOMEYKI,Warszawa,78.09595911666666,100.0,cxxii liceum ogólnokształcące im. ignacego domeyki,Miasto na prawach powiatu,MAZOWIECKIE,689.0,Bielany,CXXII LICEUM OGÓLNOKSZTAŁCĄCE IM. IGNACEGO DOMEYKI,ogólnodostępny
20,CXXV LO im. Waldemara Milewicza,Warszawie,102.3625,ul. Chłodna 36/46 00-872 Warszawa Wola,Warszawa,20,20580,72,CXXV LICEUM OGÓLNOKSZTAŁCĄCE IM. WALDEMARA MILEWICZA,CXXV LICEUM OGÓLNOKSZTAŁCĄCE IM. WALDEMARA MILEWICZA,Warszawa,62.78122710666667,88.39743589666666,cxxv liceum ogólnokształcące im. waldemara milewicza,Miasto na prawach powiatu,MAZOWIECKIE,435.0,Wola,CXXV LICEUM OGÓLNOKSZTAŁCĄCE IM. WALDEMARA MILEWICZA,"ogólnodostępny, przygotowania wojskowego"
21,CXXXVII LO z Oddziałami Dwujęzycznymi im. Roberta Schumana,Warszawie,132.74285714285713,ul. Olgierda 35/41 03-536 Warszawa Targówek,Warszawa,21,44248,84,CXXXVII LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI DWUJĘZYCZNYMI IM. ROBERTA SCHUMANA,CXXXVII LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI DWUJĘZYCZNYMI IM. ROBERTA SCHUMANA,Warszawa,74.56474736333332,100.0,cxxxvii liceum ogólnokształcące z oddziałami dwujęzycznymi im. roberta schumana,Miasto na prawach powiatu,MAZOWIECKIE,679.0,Targówek,CXXXVII LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI DWUJĘZYCZNYMI IM. ROBERTA SCHUMANA,"ogólnodostępny, dwujęzyczny w szkole podstawowej, liceum i technikum"
22,Dwujęzyczne Liceum Uniwersyteckie im. Stanisława Barańczaka w Rzeszowie,Rzeszowie,130.75,,Rzeszów,22,119731,100,DWUJĘZYCZNE LICEUM UNIWERSYTECKIE IM. STANISŁAWA BARAŃCZAKA W RZESZOWIE,DWUJĘZYCZNE LICEUM UNIWERSYTECKIE IM. STANISŁAWA BARAŃCZAKA W RZESZOWIE,Rzeszów,71.14592592666666,100.0,dwujęzyczne liceum uniwersyteckie im. stanisława barańczaka w rzeszowie,Uczelnia Publiczna,PODKARPACKIE,188.0,Rzeszów,DWUJĘZYCZNE LICEUM UNIWERSYTECKIE IM. STANISŁAWA BARAŃCZAKA W RZESZOWIE,"dwujęzyczny w szkole podstawowej, liceum i technikum"
23,Europejskie Liceum Ogólnokształcące we Wrocławiu,Wroclaw,57.625,Wrocław ul. Marszowicka 150 54-078,Wrocław,23,21328,80,"ZAOCZNE LICEUM OGÓLNOKSZTAŁCĄCE ""COSINUS"" WE WROCŁAWIU","ZAOCZNE LICEUM OGÓLNOKSZTAŁCĄCE ""COSINUS"" WE WROCŁAWIU",Wrocław,42.494222750000006,32.61682243,"zaoczne liceum ogólnokształcące ""cosinus"" we wrocławiu",Fundacje,DOLNOŚLĄSKIE,1145.0,Wrocław-Krzyki,"ZAOCZNE LICEUM OGÓLNOKSZTAŁCĄCE ""COSINUS"" WE WROCŁAWIU",ogólnodostępny
29,"I LO im. Danuty Siedzikówny ""Inki""",Wroclaw,145.98333333333332,ul. Księcia Józefa Poniatowskiego 9 50-326 Wrocław Śródmieście,Wrocław,29,11472,72,"LICEUM OGÓLNOKSZTAŁCĄCE NR I IM. DANUTY SIEDZIKÓWNY ""INKI""","LICEUM OGÓLNOKSZTAŁCĄCE NR I IM. DANUTY SIEDZIKÓWNY ""INKI""",Wrocław,71.37826326666666,99.29903495333333,"liceum ogólnokształcące nr i im. danuty siedzikówny ""inki""",Miasto na prawach powiatu,DOLNOŚLĄSKIE,908.0,Wrocław-Śródmieście,"LICEUM OGÓLNOKSZTAŁCĄCE NR I IM. DANUTY SIEDZIKÓWNY ""INKI",ogólnodostępny
31,I LO im. Juliusza Słowackiego,Częstochowie,131.9375,al. Aleja Tadeusza Kościuszki 8 42-202 Częstochowa Śródmieście,Częstochowie,31,38949,74,I LICEUM OGÓLNOKSZTAŁCĄCE IM. JULIUSZA SŁOWACKIEGO,I LICEUM OGÓLNOKSZTAŁCĄCE IM. JULIUSZA SŁOWACKIEGO,Częstochowa,75.61917927333333,99.75308642,i liceum ogólnokształcące im. juliusza słowackiego,Miasto na prawach powiatu,ŚLĄSKIE,644.0,Częstochowa,I LICEUM OGÓLNOKSZTAŁCĄCE IM. JULIUSZA SŁOWACKIEGO,ogólnodostępny
32,I LO im. Karola Marcinkowskiego,Poznaniu,172.17499999999998,Poznań ul. Bukowska 16 60-809 Poznań-Grunwald Grunwald,Poznań,32,79204,72,I LICEUM OGÓLNOKSZTAŁCĄCE IM. KAROLA MARCINKOWSKIEGO,I LICEUM OGÓLNOKSZTAŁCĄCE IM. KAROLA MARCINKOWSKIEGO,Poznań,79.94228013333333,100.0,i liceum ogólnokształcące im. karola marcinkowskiego,Miasto na prawach powiatu,WIELKOPOLSKIE,788.0,Poznań,I LICEUM OGÓLNOKSZTAŁCĄCE IM. KAROLA MARCINKOWSKIEGO,"ogólnodostępny, dwujęzyczny w szkole podstawowej, liceum i technikum"
43,I LO z oddziałem integracyjnym im. Bolesława Limanowskiego,Warszawie,154.17777777777778,ul. Alojzego Felińskiego 15 01-513 Warszawa Żoliborz,Warszawa,43,19730,78,I LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI INTEGRACYJNYMI IM. BOLESŁAWA LIMANOWSKIEGO,I LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI INTEGRACYJNYMI IM. BOLESŁAWA LIMANOWSKIEGO,Warszawa,73.09314535666667,100.0,i liceum ogólnokształcące z oddziałami integracyjnymi im. bolesława limanowskiego,Miasto na prawach powiatu,MAZOWIECKIE,720.0,Żoliborz,I LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI INTEGRACYJNYMI IM. BOLESŁAWA LIMANOWSKIEGO,"ogólnodostępny, integracyjny"
44,I Liceum Ogólnokształcące im. M. Kopernika,Bielsku-Białej,163.47,ul. Listopadowa 70 43-300 Bielsko-Biała,Bielsku-Białej,44,9380,99,II LICEUM OGÓLNOKSZTAŁCĄCE IM M. KOPERNIKA,II LICEUM OGÓLNOKSZTAŁCĄCE IM M. KOPERNIKA,Włocławek,61.831892970000006,96.69757801666667,ii liceum ogólnokształcące im m. kopernika,Miasto na prawach powiatu,KUJAWSKO-POMORSKIE,563.0,Włocławek,II LICEUM OGÓLNOKSZTAŁCĄCE IM M. KOPERNIKA,ogólnodostępny
46,II LO im. Gabriela Narutowicza,Łodzi,107.08333333333333,ul. Nowa 11/13 90-031 Łódź Widzew,Łódź,46,22518,72,II LICEUM OGÓLNOKSZTAŁCĄCE IM. GABRIELA NARUTOWICZA,II LICEUM OGÓLNOKSZTAŁCĄCE IM. GABRIELA NARUTOWICZA,Łódź,66.95074696666667,98.80952381000002,ii liceum ogólnokształcące im. gabriela narutowicza,Miasto na prawach powiatu,ŁÓDZKIE,494.0,Łódź-Widzew,II LICEUM OGÓLNOKSZTAŁCĄCE IM. GABRIELA NARUTOWICZA,ogólnodostępny
47,II LO im. Generałowej Zamoyskiej I Heleny Modrzejewskiej,Poznaniu,190.83333333333334,Poznań ul. Jana Matejki 8/10 60-766 Poznań-Grunwald Grunwald,Poznań,47,82414,83,II LICEUM OGÓLNOKSZTAŁCĄCE IM. GENERAŁOWEJ ZAMOYSKIEJ I HELENY MODRZEJEWSKIEJ,II LICEUM OGÓLNOKSZTAŁCĄCE IM. GENERAŁOWEJ ZAMOYSKIEJ I HELENY MODRZEJEWSKIEJ,Poznań,80.08777651999999,100.0,ii liceum ogólnokształcące im. generałowej zamoyskiej i heleny modrzejewskiej,Miasto na prawach powiatu,WIELKOPOLSKIE,511.0,Poznań-Grunwald,II LICEUM OGÓLNOKSZTAŁCĄCE IM. GENERAŁOWEJ ZAMOYSKIEJ I HELENY MODRZEJEWSKIEJ,"ogólnodostępny, międzynarodowy"
52,II LO im. Królowej Jadwigi,Toruniu,70.96249999999999,ul. Kosynierów Kościuszkowskich 6 87-100 Toruń Na Skarpie,Toruń,52,83866,71,II LICEUM OGÓLNOKSZTAŁCĄCE IM. KRÓLOWEJ JADWIGI,II LICEUM OGÓLNOKSZTAŁCĄCE IM. KRÓLOWEJ JADWIGI,Toruń,58.17951541333334,91.93513316666667,ii liceum ogólnokształcące im. królowej jadwigi,Miasto na prawach powiatu,KUJAWSKO-POMORSKIE,571.0,Toruń,II LICEUM OGÓLNOKSZTAŁCĄCE IM. KRÓLOWEJ JADWIGI,"ogólnodostępny, sportowy, profil mundurowy"
59,II LO im. Romualda Traugutta,Częstochowie,132.18,ul. Jana Kilińskiego 62 42-218 Częstochowa Tysiąclecie,Częstochowie,59,40944,73,II LICEUM OGÓLNOKSZTAŁCĄCE IM. ROMUALDA TRAUGUTTA,II LICEUM OGÓLNOKSZTAŁCĄCE IM. ROMUALDA TRAUGUTTA,Częstochowa,69.05420703,99.43740208000001,ii liceum ogólnokształcące im. romualda traugutta,Miasto na prawach powiatu,ŚLĄSKIE,643.0,Częstochowa,II LICEUM OGÓLNOKSZTAŁCĄCE IM. ROMUALDA TRAUGUTTA,ogólnodostępny
63,II Liceum Ogólnokształcące im. A. Asnyka,Bielsku-Białej,128.625,ul. Jutrzenki 13 43-300 Bielsko-Biała,Bielsku-Białej,63,22523,85,VIII LICEUM OGÓLNOKSZTAŁCĄCE IM. ADAMA ASNYKA,VIII LICEUM OGÓLNOKSZTAŁCĄCE IM. ADAMA ASNYKA,Łódź,70.07261366,99.74358974333335,viii liceum ogólnokształcące im. adama asnyka,Miasto na prawach powiatu,ŁÓDZKIE,625.0,Łódź-Śródmieście,VIII LICEUM OGÓLNOKSZTAŁCĄCE IM. ADAMA ASNYKA,"ogólnodostępny, dwujęzyczny w szkole podstawowej, liceum i technikum"
64,II Ogólnokształcące Liceum Ekologiczne Z Oddziałami Integracyjnymi Im.unii Europejskiej w Zespole Szkół Ekologicznych w Zielonej Górze,Zielonej,125.39166666666668,ul. Francuska 25a 65-943 Zielona Góra,Zielonej,64,17878,100,II OGÓLNOKSZTAŁCĄCE LICEUM EKOLOGICZNE Z ODDZIAŁAMI INTEGRACYJNYMI IM.UNII EUROPEJSKIEJ W ZESPOLE SZKÓŁ EKOLOGICZNYCH W ZIELONEJ GÓRZE,II OGÓLNOKSZTAŁCĄCE LICEUM EKOLOGICZNE Z ODDZIAŁAMI INTEGRACYJNYMI IM.UNII EUROPEJSKIEJ W ZESPOLE SZKÓŁ EKOLOGICZNYCH W ZIELONEJ GÓRZE,Zielona Góra,65.13203463333333,97.39808802333334,ii ogólnokształcące liceum ekologiczne z oddziałami integracyjnymi im.unii europejskiej w zespole szkół ekologicznych w zielonej górze,Miasto na prawach powiatu,LUBUSKIE,542.0,Zielona Góra,II OGÓLNOKSZTAŁCĄCE LICEUM EKOLOGICZNE Z ODDZIAŁAMI INTEGRACYJNYMI IM.UNII EUROPEJSKIEJ W ZESPOLE SZKÓŁ EKOLOGICZNYCH W ZIELONEJ GÓRZE,"ogólnodostępny, integracyjny"
